name,source,servings,ingredients_resolved,coverage_pct,listed_kcal,computed_kcal_per_serving,kcal_diff_pct,listed_P,computed_P,p_diff_pct,listed_C,computed_C,c_diff_pct,listed_F,computed_F,f_diff_pct,status,worst_variance,unresolved
Oatmeal with Banana & Peanut Butter,meals.ts,1,5/5,100%,450.0,370.1,-17.8,15.0,8.3,-44.8,60.0,53.8,-10.4,16.0,15.3,-4.3,VARIANCE,44.8,
Protein Smoothie,meals.ts,1,2/5,40%,300.0,253.9,-15.4,30.0,9.1,-69.6,30.0,38.6,28.7,5.0,8.4,68.1,LOW_COVERAGE,69.6,Plant protein powder (no USDA mapping); Spinach (1.0 handful → can't convert to grams); Ice cubes (no USDA mapping)
Avocado Toast with Eggs,meals.ts,1,6/6,100%,480.0,545.4,13.6,22.0,20.7,-5.9,35.0,41.8,19.3,28.0,34.5,23.3,VARIANCE,23.3,
Bacon & Egg Wrap,meals.ts,1,2/5,40%,500.0,304.0,-39.2,30.0,16.6,-44.6,30.0,25.6,-14.7,28.0,14.3,-48.8,LOW_COVERAGE,48.8,Bacon (2.0 strips → can't convert to grams); Cheddar cheese (0.25 cup shredded → can't convert to grams); Cooking spray (no USDA mapping)
Keto Egg Cups,meals.ts,1,1/5,20%,350.0,465.0,32.9,28.0,37.8,35.0,4.0,3.3,-17.5,25.0,31.8,27.2,LOW_COVERAGE,35.0,Diced ham (no USDA mapping); Spinach (1.0 cup chopped → can't convert to grams); Shredded cheese (no USDA mapping)
Tofu Scramble,meals.ts,1,2/7,29%,320.0,132.6,-58.6,22.0,0.0,-100.0,15.0,0.0,-100.0,18.0,15.0,-16.7,LOW_COVERAGE,100.0,Firm tofu (0.5 block → can't convert to grams); Onion (0.25 diced → can't convert to grams); Bell pepper (0.5 diced → can't convert to grams)
Smoked Salmon Bagel,meals.ts,1,1/6,17%,400.0,117.9,-70.5,25.0,12.5,-49.9,30.0,0.0,-100.0,18.0,7.0,-60.9,LOW_COVERAGE,100.0,Bagel (no USDA mapping); Cream cheese (no USDA mapping); Capers (no USDA mapping)
Overnight Oats,meals.ts,1,4/5,80%,400.0,350.5,-12.4,15.0,13.3,-11.5,55.0,51.4,-6.6,14.0,11.4,-18.4,VARIANCE,18.4,Mixed nuts (no USDA mapping)
Cottage Cheese Bowl,meals.ts,1,3/3,100%,280.0,312.8,11.7,28.0,27.0,-3.5,25.0,28.8,15.4,6.0,10.6,76.0,VARIANCE,76.0,
Banana Pancakes,meals.ts,1,2/4,50%,350.0,260.0,-25.7,15.0,13.9,-7.3,45.0,28.0,-37.8,12.0,11.0,-8.7,LOW_COVERAGE,37.8,Maple syrup (no USDA mapping); Cooking spray (no USDA mapping)
Grilled Chicken & Rice,meals.ts,1,4/6,67%,504.0,498.6,-1.1,40.0,59.6,49.0,50.0,16.7,-66.7,16.0,22.1,38.1,LOW_COVERAGE,66.7,White rice (1.0 cup cooked → can't convert to grams); Salt and pepper (1.0 pinch each → can't convert to grams)
Turkey Sandwich,meals.ts,1,3/5,60%,420.0,335.7,-20.1,30.0,43.7,45.8,40.0,32.7,-18.2,14.0,3.6,-74.4,LOW_COVERAGE,74.4,Lettuce (2.0 leaves → can't convert to grams); Mustard (no USDA mapping)
Tuna Salad Bowl,meals.ts,1,2/6,33%,380.0,30.5,-92.0,35.0,2.8,-92.1,15.0,1.5,-89.7,18.0,1.5,-91.6,LOW_COVERAGE,92.1,Canned tuna (1.0 can (5oz) → can't convert to grams); Celery (no USDA mapping); Mixed greens (no USDA mapping)
Chicken Caesar Wrap,meals.ts,1,1/5,20%,520.0,149.0,-71.4,35.0,4.0,-88.5,38.0,24.5,-35.5,22.0,3.7,-83.1,LOW_COVERAGE,88.5,Grilled chicken breast (4.0 oz sliced → can't convert to grams); Romaine lettuce (2.0 cups chopped → can't convert to grams); Parmesan cheese (no USDA mapping)
Beef Stir Fry,meals.ts,1,3/6,50%,550.0,123.0,-77.6,35.0,3.4,-90.4,55.0,15.8,-71.4,18.0,5.5,-69.7,LOW_COVERAGE,90.4,Beef sirloin (5.0 oz sliced thin → can't convert to grams); White rice (1.0 cup cooked → can't convert to grams); Garlic (2.0 cloves minced → can't convert to grams)
